text,label
STRACH svina,2
bohuzial natlaky vyhrazky atd mohli zrusit chodia chori dovtedy chodit testovat dokym nebudem pozitivna kazdom testovani tri styri dni hrdlo kaslem nikto nehovori,1
slovko markize tv novinach hod,0
STALE NENAUCILI ZAKONY NEPREKVAPUJE,0
okresoch,0
Biznis Matelkov biznis,0
Presne ide pojebat narod hadajte socialnej sieti stlacajte zvierace uvidite pandle Panboh pomahaj,3
neni poviem testovanie chcu pokuty nechapem,0
Cela vlada pojebe,3
Pomahat chranit Matelka zgerba prasiva cest vynimkam,0
Fakt hanbit Ludia prisli pracu nemaju pomaly huby dnom boja zvladnu hanba slovensku,2
zrazu Slovensko noveho Janosika toCHto poliakmi skriepit nebudeme ludom JeBe,3
prve najlepsi svete teraz najhorsi bo zabudol zavriet hranice bo ekonomila slapat ekonomika ide bidnakov ludi pokutovat nechat skapat,3
nema Odstupit Trepe Nehovori veci,3
pomahat chranit,0
Niekto nabaluje ucty,0
Konecne,0
Nedodrzali odstup,0
Policia Keby radsej napisali pritvrdil robili teraz najhorsich Jasne niekoho treba zhodit,0
Dobry den Pan Harabin vazim predstavil obycajny bezny beloch robim kamionistu vystupenia vystupenia ostatnych pravnikov mediach pana Drgonca pani Lasakovej ostatnych hlboko poburuju hned vysvetlim spolocnost staroveku diferencovana tyka funkcii jednotlivych clenov dnesnej dobe plni funkciu spolocnosti znamena spolocnosti malo uhlia zavolaju banikom uhlie dotazia spolocnosti nedostatok zdravotnej starostlivosti teraz zavolaju doktori nemaju pravo dovolenku zostanu praci potreba spolocnosti malo tovaru obchodoch zavolaju dopravne spolcnosti kamionisti navezieme chybajuci tovar spolocnosti malo ustavnosti pravnosti dodrziavania ludskych prav zavolat Pravnikom Sudcom prokuratorom spravia Zacnu chodit radiach vypisovat blokoch burit ludi tyto znalci zakona nezacnu jednat posielat zaloby sudy ustavny sud Strasburg ludia dohliadat zakon dopustia porusoval burcuju verejnost chcu boj vybojovaly obycajny ludia pravne vzdelany ludia peniaze vsetkych vystudovali pravo pride Matovic Mikas povie takto porusi zakony strazcovia zrazu pokakany nezastane nezastane ucenie pravnost pravnicky zdelany ludia sklopite usi mozte obycajneho cloveka chciet zobudil vyzyvat ktomu chcete siel ulic protestoval nevie neporusi pa Harabin cakate kedy potrestaju ruska pritom boja autoritu nemozte pouzit zastanie mnoho ludi spolocnosti malo podnetov Revolucia ludia uliciach dobry zmenu systemu zakonov citacie zakonov porusene systeme citacie citacie pana Drgonca atd indikatorom system dostatok zakotvenych mechnyzmov ochranu ludskej slobody atd ochranovat PRAVNICI keby kamionista poviem zajtra zoberte auto navezte tovar obchodu pravne vzdelany ludia,1
bojis lud miluje zvolia zas ovecky davas testovat strasis ludi nemoli ist von strajku podpisoval peticiu davas nezmyselne nariadenia trestom pokuty nesli ludia von neboj zrataju,1
Neviem,0
Policajtov kontroluje pozitivny obcan pravo policajt preukazal testom obcanovi negativny policajt bacilonosic nema pravo obcana dotknut,0
Teraz zatvu,0
Rychlo rozpadnu neda pozerat saskuju myslia nenahraditelny hlavne matelko,1
Hattas nominant OLANO divadlo Nitre netreba komentovat,0
Pokrcit pokutu hodit policajtovi hlavne nepodpisovat pokutu Podpis znamena suhlas,0
nedokazes zabezpecit nezomrie vacsi diletant nenarodil Igorko,1
cele viete tvrdite zbili zabili konecne schopili zamestanaci vaznice podali trestne oznamenie Fandim,0
Stat pripravil pracu odmietam statu platit pokutu,0
nemozem ist prechadzku neda pekn pocasie treba vyhybat nakazenych infikovanych ludi ludia neksupinkuj nakazenymi hotovo kontorlovovat poslancov pocit keby vynimky dovolenkach pocas lockdownu netreba sankciovat pani,0
vecer prosia verejnost pomoc patrani divne,0
nevydel joooj prepacte rano sedeli aute prilepeny,0
t matelko,1
Skyrveni policajny stat cele kokotom trnavskym,3
Chudak MR BEAN NECHAJTE,1
Nechcem urazat dotknut policajtov myslim presne policajti neskutocne kuruje hlave radov policie dostali prasata obalky teraz vybesniet Chapem tlaceni zhora vzdy ludia,0
Posledny krat pokutu zaplatil,0
chory clovek,1
prezumpcia neviny ovplivnujete deti mastite ego lajkoch Zomrel clovek vinny nevinny nezobral zivote uplatok nikdy nikoho nevybavil nikto sudit spamatajte vazeny,3
Zdierat chranit robit hraniciach testy radsej pokutuju,0
sirit nakaza Ziadne najmenej metre,0
chory clovek choryyyyyyyy,1
Matelko vieme strach budesmusiet zit konca zivota,1
Chudak prazdnou hlavou,1
Miro Gazi smrad hes zalez kanala,0
matky hrde,0
Jebn matelko fakt,1
Don debilo,0
Ludia nemaju peniaze pokuty zijeme Matovic pripravil ludi pracu firmy Atd pokuty Igor Matovic igi pekne citaj sikanu robis Slovenku,0
Saso vyjebany,1
m odstup Policia,0
Chore,1
vazne chory clovek,1
potrebuj chleba rozky ktomu pitnu vodu ist obchodu km bydliska ist chvilu koli testovat,0
Matelko placko,1
hlupost,1
Hatahin saso,1
pomahat chranit nebude test odvezu odberne miesto otestovat Dat respirator pokutu odstavym auto zbehnu nakupit kludne pockam mojom aute mieste nato,0
paci zmena Dobri kovidofasizmus kim severnej Korei zavidel,0
nemas priepustku gestapo zakroci nacistov teraz matovica policiu rozdiely vtedy tvrdili chcu dobro zdravie obcanov,0
Zachytka siet kazajka sedativa klietka,1
Chuje pyska misto pokut,3
neodstupila,0
pekla chodte,0
Boze Chudak,1
nikde nedeje celom svete deje sk Keby dialo USA ludia zabiju mieste,0
riadny chudak blby,1
Chudak ubohost,1
Presne dvojmetrove odstupy dodrzuje zakon zakony,0
nemali robit vonka fakt vazny virus skurveny sediet stanici provokovat ludi mier,3
Treba plnit statnu pokladnicu testy,0
Daj idiotovi funkciu vidis dokaze Zakony poriadok nikomu nehovori zaraba jak viem piii stakim sistemom,3
blbost dar Bozi,1
Boze dristy,3
Chudak niekto vyhraza,1
Nesledujem TV zakaz vychadzania dochodku chodim nakup potravin potrebujem oznacenie zltu hviezdu da,0
robia slovaci preberte horor,0
den jazdim prace km cierneho okresu cierneho nevidel policajta vojaka,0
prijimat covid oststnych pacintov nechate zomriet prisaha nik slovakov neprijme Hanba vsetkym podielate klamstve,2
Policia pritvrdila porusenie zakazov vychadzania dala prve pokuty zaujimalo zakon zakaz vychadzania zakon neexistuje padom policajti dopustaju trestneho cinu zneuzitia pravomoci verejneho cinitela,0
Chudak,1
Keby kontrolovali naozaj vsetkych poctivo idu prace lekarovi,0
chory clovek,1
nehanbite Ludia nemaju pracu radi vedia uzivit rodiny drzia doma same zakazy davate pokuty zato ideme cerstvy vzduch stat neda platit dalej Policia platena dani sprava zveri Zabudli mili moji vdaka plat Vdaka pracuju buzerujete neotocilo proti Cest normalni mrzi zniest pracu beru hranie gerojov eur nepojdem testovat Nemalo testovanie dobrovolne dostali Nemam slov neberie policia vazne domace tyranie zavolate sused tyra susedu nespravia nestrelil hlavy gulku nebodol nozom Pekne odkracaju prec stretnu vonku prechadzat cerstvom vzduchu sameho ruska zhodia zem daju puta hnus,3
trapny psycholat,1
malo liter dajte zivote nikdy slovaci takto panacikov neutahovali posluhovaci nekompetentnej vlady,0
Chori clovek,1
Policia vi negramotni setci,0
OMG,1
jjhbbbbbbbbbbbbbbbbbg,0
Lipsic vrah cistic objavi treba zahladit stopy vrazde spina,3
Vypalnici,0
duta hlava Matelko,1
Chory clovek nada vyjadrit,1
dalej dobre jedine SK racej anglicku bezdomovec keby ist skurvene slovensko,3
Tolko hluposti dokaze povedat malokto,1
Pani policajti test dobrovolny dat dobrovolny test pokutu dobustate trestneho cinu zneuzitia pravomoci verejneho cinitela pan Mikulec nehovori zakon veci zakone jedine porusuje zakon policajt jedine dosiahnete zase naserete ludi,0
zasadat bezpecnostnabranna komisia dozvieme,0
Smradi,0
Ko koti,0
Keby kontrolovali vlani novembri vianoce silvestra,0
takto da plnit statna kasa,0
Chudak rozplace,1
siet hodte nanho blazna,1
Policia smiech,0
kontroluje test,0
nema covid zomriet chorobu poviete zomrel covid jebnuti ludia boze Hnus,3
Konecne chudak covid,1
Klamarsky schizofrenik,1
Matelko dobry kxkot,1
Tolko vakcin ponukali jednu zobral teraz vadi,0
chory hlavu,1
Kollara prednostne vykastrovat,0
Chudak chory,1
chory clovek,1
reci nikoho nezaujima vyjadria opozicny poslanci EU kontrola dristy nikoho nezaujima,3
Snad necakate prestane papalasizmom,0
Chudak obycajny chudak,1
netvor matelko,1
Pisu samy detektivy skoda mudrovat dobre pisete zmente zamestnanie,3
Papalasizmus,0
Chudak,1
Erik Kalinak zaockovany,0
Uboziak ludoch nezalezi lahko politikarci vakcinami ockovany papalasizmus,3
Chudak,1
Parazit,1
prednostne zaockovanie poslanci kriticka infrastruktura davno moznost zaockovat mlady Kalinak chvilu kraluje nakradnuteho Strejdovi zaklope NAKA Garzonka dobra,0
Hocijaky debil zmaturuje niekto musel poctivo oddrat,3
Chory clovek,1
da styri fuj,3
